trigger,brand_id,catalog_purity,matched_queries,newly_admitted,native_ndcg_mean,solr_ndcg_mean,false_positives,false_positive_rate,decision
inverter rv,6668,1,1,0,0,0,0,0,REJECT (no coverage)
ironck bookshelf,19733,1,1,0,0,0,0,0,REJECT (no coverage)
isee hair,3642,1,1,0,0,0,0,0,REJECT (no coverage)
it notes,9163,0.9285714285714286,3,0,0,0,0,0,REJECT (no coverage)
j brand,85281,1,1,0,0,0,0,0,REJECT (no coverage)
jansport big,24375,1,1,0,0,0,0,0,REJECT (no coverage)
jansport big student,24375,1,1,0,0,0,0,0,REJECT (no coverage)
johnson level,8366,1,1,0,0,0,0,0,REJECT (no coverage)
jordan 1,3656,0.82,1,0,0,0,0,0,REJECT (no coverage)
joystar 12,4300,1,1,0,0,0,0,0,REJECT (no coverage)
joystar 12 inch,4300,1,1,0,0,0,0,0,REJECT (no coverage)
juliette has,149007,1,2,0,0,0,0,0,REJECT (no coverage)
juliette has a,149007,1,2,0,0,0,0,0,REJECT (no coverage)
jym pre,72128,1,1,1,0.4920062203073636,0.24618570546556082,0,0,PROMOTE
jym pre workout,72128,1,1,1,0.4920062203073636,0.24618570546556082,0,0,PROMOTE
kanken backpack,24283,0.8,1,0,0,0,0,0,REJECT (no coverage)
kate spade,4119,0.96,4,0,0,0,0,0,REJECT (no coverage)
kawa slide,3656,1,1,0,0,0,0,0,REJECT (no coverage)
kay eyeliner,96608,0.9444444444444444,1,0,0,0,0,0,REJECT (no coverage)
kenneth cole unlisted,9669,0.96,1,0,0,0,0,0,REJECT (no coverage)
keto bark,652,1,2,0,0,0,0,0,REJECT (no coverage)
khakis women,17082,1,1,1,0.4361533373077281,0.8675241956752285,0,0,PROMOTE
kickee pants,23043,0.9523809523809523,1,1,0.727329844310522,0.6621137423456801,0,0,PROMOTE
kids zone,26776,0.8333333333333334,1,0,0,0,0,0,REJECT (no coverage)
kirkland signature stretch-tite,654,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
kitchenaid professional,6309,1,1,0,0,0,0,0,REJECT (no coverage)
knit interfacing,68368,0.8,1,1,0.92663607790064,1,0,0,PROMOTE
knot promise,3741,0.8,1,0,0,0,0,0,REJECT (no coverage)
kohler bathroom,1052,1,1,0,0,0,0,0,REJECT (no coverage)
koolaburra by,31725,1,1,0,0,0,0,0,REJECT (no coverage)
la croix sparkling,89710,0.8,1,1,0,0.6235540477207573,1,1,REJECT (false-positive rate too high)
la roche,17141,1,1,1,0.2605834823075072,0.803332608803466,0,0,PROMOTE
la roche posay,17141,1,1,1,0.2605834823075072,0.803332608803466,0,0,PROMOTE
lag screws 3/8,139,1,1,0,0,0,0,0,REJECT (no coverage)
lapse camera,142671,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
launch 6,7469,1,1,0,0,0,0,0,REJECT (no coverage)
lauren men,3352,0.9,2,0,0,0,0,0,REJECT (no coverage)
leather paint,18190,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
lego creator,14540,1,1,0,0,0,0,0,REJECT (no coverage)
lego elves,14540,1,1,0,0,0,0,0,REJECT (no coverage)
lego minifigures,14540,1,1,0,0,0,0,0,REJECT (no coverage)
lego star,14540,0.9,2,0,0,0,0,0,REJECT (no coverage)
lego star wars,14540,0.9,2,0,0,0,0,0,REJECT (no coverage)
lego technic,14540,0.96,1,0,0,0,0,0,REJECT (no coverage)
lenovo legion,5575,0.94,1,0,0,0,0,0,REJECT (no coverage)
leopard pullover,9997,0.8,1,0,0,0,0,0,REJECT (no coverage)
leupold mark,90706,1,1,0,0,0,0,0,REJECT (no coverage)
levin jewelry,202467,1,1,0,0,0,0,0,REJECT (no coverage)
lg oled,1880,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
lite men's,183254,1,1,0,0,0,0,0,REJECT (no coverage)
little live,68571,0.82,1,0,0,0,0,0,REJECT (no coverage)
little love by,15593,1,1,0,0,0,0,0,REJECT (no coverage)
little people,13720,0.86,1,1,0.6489315753318465,0.6325414799409711,0,0,PROMOTE
little swimmers,23868,0.8888888888888888,1,0,0,0,0,0,REJECT (no coverage)
live pets,68571,0.8936170212765957,1,0,0,0,0,0,REJECT (no coverage)
lodge cast,4342,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
lodge cast iron,4342,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
logitech wireless,5964,0.8095238095238095,2,0,0,0,0,0,REJECT (no coverage)
lol surprise omg,16683,1,1,1,0.22009176629808014,0.45374257454118544,0,0,PROMOTE
lone peak,17139,1,1,0,0,0,0,0,REJECT (no coverage)
lone peak 4,17139,1,1,0,0,0,0,0,REJECT (no coverage)
long sleeve tee,264,0.86,1,0,0,0,0,0,REJECT (no coverage)
loom boy,262,1,1,0,0,0,0,0,REJECT (no coverage)
loom boys,262,1,1,0,0,0,0,0,REJECT (no coverage)
loom women's,262,1,1,0,0,0,0,0,REJECT (no coverage)
loose fit,7521,0.98,2,0,0,0,0,0,REJECT (no coverage)
love by nojo,15593,1,1,0,0,0,0,0,REJECT (no coverage)
ludlow slip,31718,1,1,1,1,1,0,0,PROMOTE
ludlow slip on,31718,1,1,1,1,1,0,0,PROMOTE
luggage with spinner,1585,0.8,2,0,0,0,0,0,REJECT (no coverage)
m audio,94978,0.8181818181818182,1,0,0,0,0,0,REJECT (no coverage)
madden nfl 20,19083,0.85,1,0,0,0,0,0,REJECT (no coverage)
magna 2,1580,1,1,0,0,0,0,0,REJECT (no coverage)
magnum nutraceuticals,82342,0.9285714285714286,1,1,1,1,0,0,PROMOTE
maiden ii,4390,1,1,0,0,0,0,0,REJECT (no coverage)
mane choice,96113,1,1,1,0.19930623359011798,0.914856882358379,0,0,PROMOTE
marvel select,18245,0.9259259259259259,1,0,0,0,0,0,REJECT (no coverage)
mary kay eyeliner,96608,0.9444444444444444,1,0,0,0,0,0,REJECT (no coverage)
mate flair,845,0.9523809523809523,2,0,0,0,0,0,REJECT (no coverage)
mate flair felt,845,0.975,2,0,0,0,0,0,REJECT (no coverage)
matters usb,1494,1,1,0,0,0,0,0,REJECT (no coverage)
meadowlark 2,52830,0.8461538461538461,1,0,0,0,0,0,REJECT (no coverage)
men shampoo,27871,0.8888888888888888,1,0,0,0,0,0,REJECT (no coverage)
men's essentials 3-stripes,274,1,1,0,0,0,0,0,REJECT (no coverage)
men's rompers,8870,1,1,0,0,0,0,0,REJECT (no coverage)
mens basketball shoes,3656,0.8636363636363636,1,0,0,0,0,0,REJECT (no coverage)
mesh crib liner,23931,0.8,1,0,0,0,0,0,REJECT (no coverage)
microwavable french,52303,0.8918918918918919,1,0,0,0,0,0,REJECT (no coverage)
microwavable french lavender,52303,0.8918918918918919,1,0,0,0,0,0,REJECT (no coverage)
mini gt2,23370,1,1,0,0,0,0,0,REJECT (no coverage)
mini naturals,58976,0.9444444444444444,1,1,0.22009176629808014,0.5423640154200348,0,0,PROMOTE
miss jones,100329,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
miulee decorative,1683,1,1,0,0,0,0,0,REJECT (no coverage)
monkfruit sweetener,46814,0.8666666666666667,1,1,0,0.3125291152215463,1,1,REJECT (false-positive rate too high)
mont blanc,18197,0.8333333333333334,1,0,0,0,0,0,REJECT (no coverage)
morejstu must,15088,0.9285714285714286,1,1,1,1,0,0,PROMOTE
morejstu must have,15088,0.9285714285714286,1,1,1,1,0,0,PROMOTE
mount it,3172,0.98,1,0,0,0,0,0,REJECT (no coverage)
mountain khakis women,17082,1,1,1,0.4361533373077281,0.8675241956752285,0,0,PROMOTE
mr clean,9543,0.84,1,0,0,0,0,0,REJECT (no coverage)
mr coffee,9185,0.86,1,0,0,0,0,0,REJECT (no coverage)
mr crappie,26315,0.8,1,0,0,0,0,0,REJECT (no coverage)
mrs. meyers,48760,0.8666666666666667,1,0,0,0,0,0,REJECT (no coverage)
msi aegis,1882,1,1,0,0,0,0,0,REJECT (no coverage)
museum classic,30136,1,1,0,0,0,0,0,REJECT (no coverage)
must have snacks,15088,0.8125,1,1,1,1,0,0,PROMOTE
my passport,2039,0.84,1,0,0,0,0,0,REJECT (no coverage)
mystery dungeon,2911,0.8571428571428571,2,0,0,0,0,0,REJECT (no coverage)
n wild,37762,0.82,1,0,0,0,0,0,REJECT (no coverage)
native deodorant,55945,0.875,1,1,0.23198135741909093,0.2134190485129175,0,0,PROMOTE
neewer camera,3892,1,1,0,0,0,0,0,REJECT (no coverage)
netgear wifi,2824,1,1,0,0,0,0,0,REJECT (no coverage)
neutrogena hydro,13059,1,1,0,0,0,0,0,REJECT (no coverage)
neutrogena hydro boost,13059,1,1,0,0,0,0,0,REJECT (no coverage)
new balance mens,4196,1,1,0,0,0,0,0,REJECT (no coverage)
new balance women,4196,1,1,0,0,0,0,0,REJECT (no coverage)
newton ridge,4390,1,1,0,0,0,0,0,REJECT (no coverage)
newton ridge plus,4390,1,1,0,0,0,0,0,REJECT (no coverage)
nfl 20,19083,0.85,1,0,0,0,0,0,REJECT (no coverage)
nicetown thermal,3315,1,1,0,0,0,0,0,REJECT (no coverage)
nicetown thermal insulated,3315,1,1,0,0,0,0,0,REJECT (no coverage)
nike air,3656,1,3,0,0,0,0,0,REJECT (no coverage)
nike air force,3656,1,2,0,0,0,0,0,REJECT (no coverage)
nike air max,3656,1,1,0,0,0,0,0,REJECT (no coverage)
nike epic,3656,1,1,0,0,0,0,0,REJECT (no coverage)
nike epic react,3656,1,1,0,0,0,0,0,REJECT (no coverage)
nike kids,3656,1,1,0,0,0,0,0,REJECT (no coverage)
nike mens,3656,1,1,0,0,0,0,0,REJECT (no coverage)
nike sb,3656,1,1,0,0,0,0,0,REJECT (no coverage)
nike sportswear,3656,1,1,0,0,0,0,0,REJECT (no coverage)
nike sunray,3656,0.9333333333333333,1,0,0,0,0,0,REJECT (no coverage)
nike sunray adjust,3656,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
nike women,3656,1,1,0,0,0,0,0,REJECT (no coverage)
nike womens,3656,1,2,0,0,0,0,0,REJECT (no coverage)
nike womens w,3656,1,1,0,0,0,0,0,REJECT (no coverage)
nitto nt421q,104279,1,1,1,1,1,0,0,PROMOTE
north face,5695,1,7,2,0.5248010467162383,0.3433575915491295,0,0,PROMOTE
norton 360,104691,0.9333333333333333,1,1,0.5487973376826973,0.7419673643177533,0,0,PROMOTE
not fitting,5366,1,1,0,0,0,0,0,REJECT (no coverage)
not plus,9783,0.96,3,0,0,0,0,0,REJECT (no coverage)
nourison passion,3897,1,1,0,0,0,0,0,REJECT (no coverage)
npt bottom mount,83064,0.8235294117647058,1,0,0,0,0,0,REJECT (no coverage)
nugo dark,66531,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
o gauge,18990,0.8888888888888888,1,0,0,0,0,0,REJECT (no coverage)
of excellence book,26335,0.9230769230769231,1,0,0,0,0,0,REJECT (no coverage)
of marley,81153,1,1,0,0,0,0,0,REJECT (no coverage)
of the loom,262,1,3,0,0,0,0,0,REJECT (no coverage)
of tri-state,4460,1,1,0,0,0,0,0,REJECT (no coverage)
old spice deodorant,38838,1,1,0,0,0,0,0,REJECT (no coverage)
oled tv,1880,0.96,3,1,0,0,0,0,PROMOTE
one g3,83388,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
one x 1tb,4957,0.8,1,0,0,0,0,0,REJECT (no coverage)
oofos women,105527,1,1,0,0,0,0,0,REJECT (no coverage)
operation game,20870,0.8,1,0,0,0,0,0,REJECT (no coverage)
oral b,36986,0.8,3,0,0,0,0,0,REJECT (no coverage)
orgain organic,48127,0.9705882352941176,1,0,0,0,0,0,REJECT (no coverage)
ornaments for christmas,15281,0.9,1,0,0,0,0,0,REJECT (no coverage)
otterbox defender,9783,0.98,1,0,0,0,0,0,REJECT (no coverage)
otterbox symmetry,9783,1,2,0,0,0,0,0,REJECT (no coverage)
oz ultraleggera,107224,0.9,1,1,0.9363792118010483,1,0,0,PROMOTE
pad mats,11834,1,1,0,0,0,0,0,REJECT (no coverage)
pads without wings,17244,0.9333333333333333,3,0,0,0,0,0,REJECT (no coverage)
pampers aqua,23870,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
pampers aqua pure,23870,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
pampers swaddlers,23870,0.9,3,0,0,0,0,0,REJECT (no coverage)
paper mate flair,845,0.9523809523809523,2,0,0,0,0,0,REJECT (no coverage)
peak 4,17139,0.9583333333333334,1,0,0,0,0,0,REJECT (no coverage)
pegasus 35,3656,1,1,0,0,0,0,0,REJECT (no coverage)
pegasus 35 running,3656,1,1,0,0,0,0,0,REJECT (no coverage)
pegasus 36,3656,1,1,0,0,0,0,0,REJECT (no coverage)
pentair pentek,108904,1,1,0,0,0,0,0,REJECT (no coverage)
pentel energel,829,0.98,1,0,0,0,0,0,REJECT (no coverage)
pepcid ac,65717,0.8,1,1,0.6500332220485789,0.8454256604216017,0,0,PROMOTE
peppercorn grinder,,24448,1,1,0,0,0,0,0,REJECT (no coverage)
perfect 10,75,0.8461538461538461,1,0,0,0,0,0,REJECT (no coverage)
perfect blonde,37525,0.9130434782608695,2,0,0,0,0,0,REJECT (no coverage)
perfect blonde purple,37525,0.8666666666666667,1,0,0,0,0,0,REJECT (no coverage)
permanent markers,32567,0.84,1,0,0,0,0,0,REJECT (no coverage)
permanent markers fine,32567,0.8421052631578947,1,0,0,0,0,0,REJECT (no coverage)
phillips hue,74862,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
phone screen protector,12784,0.9,1,0,0,0,0,0,REJECT (no coverage)
piano adventures,102401,0.8666666666666667,1,0,0,0,0,0,REJECT (no coverage)
piece maxi dress,6230,0.8,1,0,0,0,0,0,REJECT (no coverage)
piggie book,59221,0.9444444444444444,1,0,0,0,0,0,REJECT (no coverage)
pilot g2,843,0.98,2,0,0,0,0,0,REJECT (no coverage)
pink jeans,129687,0.9230769230769231,1,0,0,0,0,0,REJECT (no coverage)
play doh,27210,0.92,1,0,0,0,0,0,REJECT (no coverage)
player stratocaster,6894,1,1,0,0,0,0,0,REJECT (no coverage)
pleated top,6209,0.8260869565217391,1,0,0,0,0,0,REJECT (no coverage)
plus graphing,46484,1,1,0,0,0,0,0,REJECT (no coverage)
plus graphing calculator,46484,1,1,0,0,0,0,0,REJECT (no coverage)
plus waterproof,4390,0.84,1,0,0,0,0,0,REJECT (no coverage)
plus waterproof hiking,4390,1,1,0,0,0,0,0,REJECT (no coverage)
polo ralph,3352,0.96,2,0,0,0,0,0,REJECT (no coverage)
porter cable,5805,0.98,3,3,0.24483488406725742,0.4174434965229576,0,0,PROMOTE
possini euro,5391,1,1,0,0,0,0,0,REJECT (no coverage)
post it,9163,0.92,3,0,0,0,0,0,REJECT (no coverage)
post it notes,9163,0.9285714285714286,3,0,0,0,0,0,REJECT (no coverage)
powerstep protech,24915,0.9444444444444444,1,0,0,0,0,0,REJECT (no coverage)
pravana the,37525,0.9230769230769231,1,0,0,0,0,0,REJECT (no coverage)
pravana the perfect,37525,0.9230769230769231,1,0,0,0,0,0,REJECT (no coverage)
premier colored,81448,0.8620689655172413,1,0,0,0,0,0,REJECT (no coverage)
premier colored pencils,81448,0.84,1,0,0,0,0,0,REJECT (no coverage)
prismacolor premier,81448,0.9361702127659575,1,0,0,0,0,0,REJECT (no coverage)
prismacolor premier colored,81448,1,1,0,0,0,0,0,REJECT (no coverage)
pro plan,14290,0.84,1,0,0,0,0,0,REJECT (no coverage)
pro trek,40401,1,1,0,0,0,0,0,REJECT (no coverage)
project rock,487,0.8888888888888888,1,0,0,0,0,0,REJECT (no coverage)
protandim nrf2,113864,0.8181818181818182,1,1,0.6189610486769023,0.7884407279677962,0,0,PROMOTE
protection plan,3173,0.96,1,0,0,0,0,0,REJECT (no coverage)
pulse tail,68203,1,1,1,1,0.9363792118010483,0,0,PROMOTE
pure seduction,8473,1,1,0,0,0,0,0,REJECT (no coverage)
purina cat,88984,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
purina pro,14290,0.88,1,0,0,0,0,0,REJECT (no coverage)
q posket,18393,0.8928571428571429,1,0,0,0,0,0,REJECT (no coverage)
quartet magnetic,7552,1,1,0,0,0,0,0,REJECT (no coverage)
rack green,22876,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
ralph lauren men,3352,0.9,2,0,0,0,0,0,REJECT (no coverage)
raven lte,92286,1,1,0,0,0,0,0,REJECT (no coverage)
ray ban,22351,1,2,0,0,0,0,0,REJECT (no coverage)
ray tracing,1882,0.8461538461538461,1,1,0.5309999066793252,0.41153259956303256,0,0,PROMOTE
razor slim,5970,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
react flyknit,3656,1,1,0,0,0,0,0,REJECT (no coverage)
react flyknit 2,3656,1,1,0,0,0,0,0,REJECT (no coverage)
red carpet manicure,116208,1,1,0,0,0,0,0,REJECT (no coverage)
repair lipidium,78,0.8,1,1,0.640469595039523,0.7065674066041719,0,0,PROMOTE
reverse weave,2574,1,1,0,0,0,0,0,REJECT (no coverage)
ridge plus,4390,1,1,0,0,0,0,0,REJECT (no coverage)
ridge plus waterproof,4390,1,1,0,0,0,0,0,REJECT (no coverage)
right hand outswing,8494,1,1,0,0,0,0,0,REJECT (no coverage)
ring video,16444,0.84,2,0,0,0,0,0,REJECT (no coverage)
ring video doorbell,16444,0.84,2,0,0,0,0,0,REJECT (no coverage)
roche posay,17141,1,2,1,0.2605834823075072,0.803332608803466,0,0,PROMOTE
rodan & fields,117760,0.8421052631578947,1,0,0,0,0,0,REJECT (no coverage)
rodan fields,117760,0.8421052631578947,1,1,0.22009176629808014,0.22009176629808014,0,0,PROMOTE
rog strix,4720,0.84,3,1,0.24926098697416302,0.24926098697416302,0,0,PROMOTE
rubbermaid fasttrack,2905,0.95,1,0,0,0,0,0,REJECT (no coverage)
rug 5x7,4316,0.8,1,1,0,0,0,0,PROMOTE
rugged flex,7521,1,1,0,0,0,0,0,REJECT (no coverage)
rugged flex rigby,7521,1,1,0,0,0,0,0,REJECT (no coverage)
ruled paper 200,2036,1,1,0,0,0,0,0,REJECT (no coverage)
rvca men's,26038,1,1,0,0,0,0,0,REJECT (no coverage)
rvca mens,26038,1,1,0,0,0,0,0,REJECT (no coverage)
ryka women's,4199,1,1,0,0,0,0,0,REJECT (no coverage)
ryka women's devotion,4199,1,1,0,0,0,0,0,REJECT (no coverage)
samsung 128gb,320,1,1,0,0,0,0,0,REJECT (no coverage)
samsung galaxy tab,2345,0.82,2,0,0,0,0,0,REJECT (no coverage)
sandals size 7,1742,0.90625,1,0,0,0,0,0,REJECT (no coverage)
sandals size 9,1742,0.8846153846153846,1,0,0,0,0,0,REJECT (no coverage)
screws 3/8,139,0.9230769230769231,1,0,0,0,0,0,REJECT (no coverage)
scrub sets,14254,1,1,0,0,0,0,0,REJECT (no coverage)
seagate game,2349,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
seagate game drive,2349,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
seamless paper,45470,1,1,0,0,0,0,0,REJECT (no coverage)
secret bombshell,8473,1,1,0,0,0,0,0,REJECT (no coverage)
secret love spell,8473,1,1,0,0,0,0,0,REJECT (no coverage)
secret rapture,8473,0.9230769230769231,1,0,0,0,0,0,REJECT (no coverage)
seventh generation laundry,10719,1,1,0,0,0,0,0,REJECT (no coverage)
sf af1,3656,1,1,1,0,0.2532954041105318,1,1,REJECT (false-positive rate too high)
shirts multipack,266,1,1,0,0,0,0,0,REJECT (no coverage)
shoebox funny,425,1,1,0,0,0,0,0,REJECT (no coverage)
shoes womens,18535,0.96,2,0,0,0,0,0,REJECT (no coverage)
short n,161615,0.9,1,0,0,0,0,0,REJECT (no coverage)
signature stretch-tite,654,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
sims 4,19083,1,1,0,0,0,0,0,REJECT (no coverage)
size women,273,0.9,4,1,0,0,0,0,PROMOTE
sk ii,177660,0.8888888888888888,1,1,1,1,0,0,PROMOTE
skechers women,6085,1,1,0,0,0,0,0,REJECT (no coverage)
skullcandy jib,20580,1,1,0,0,0,0,0,REJECT (no coverage)
sleeve onesies,928,0.98,1,0,0,0,0,0,REJECT (no coverage)
sleeve snap button,38053,0.8823529411764706,1,0,0,0,0,0,REJECT (no coverage)
slim bootcut jeans,17557,0.8,1,0,0,0,0,0,REJECT (no coverage)
slim christmas,5620,0.9444444444444444,1,0,0,0,0,0,REJECT (no coverage)
slim christmas tree,5620,0.9444444444444444,1,0,0,0,0,0,REJECT (no coverage)
slip resistant steel,6086,1,1,0,0,0,0,0,REJECT (no coverage)
small duffel bag,274,0.8076923076923077,1,0,0,0,0,0,REJECT (no coverage)
small mens,136988,0.8,1,0,0,0,0,0,REJECT (no coverage)
smart oven,13277,0.8214285714285714,1,0,0,0,0,0,REJECT (no coverage)
smart pixelator,199085,0.9166666666666666,1,1,1,1,0,0,PROMOTE
smash bros,2911,0.94,2,0,0,0,0,0,REJECT (no coverage)
smash bros series,2911,0.98,1,0,0,0,0,0,REJECT (no coverage)
smoke buddy,124287,0.8181818181818182,1,0,0,0,0,0,REJECT (no coverage)
smooth move,52007,0.8571428571428571,1,1,1,0.914856882358379,0,0,PROMOTE
snap pullover,4390,1,1,1,0.3079033201523544,0.3269563644556953,0,0,PROMOTE
snap shirt,4987,0.8484848484848485,1,0,0,0,0,0,REJECT (no coverage)
sojos small,31777,1,1,0,0,0,0,0,REJECT (no coverage)
solar yellow,274,0.92,1,0,0,0,0,0,REJECT (no coverage)
sonicwall tz300,166097,0.8,1,1,1,1,0,0,PROMOTE
sony fe,4947,0.8157894736842105,1,0,0,0,0,0,REJECT (no coverage)
spa house,13043,1,1,0,0,0,0,0,REJECT (no coverage)
spa house slippers,13043,1,1,0,0,0,0,0,REJECT (no coverage)
space gray,3147,0.94,2,0,0,0,0,0,REJECT (no coverage)
space marine,9557,0.8125,1,0,0,0,0,0,REJECT (no coverage)
sperry women,23091,1,1,0,0,0,0,0,REJECT (no coverage)
spice deodorant,38838,1,1,0,0,0,0,0,REJECT (no coverage)
spigen thin,9781,1,1,0,0,0,0,0,REJECT (no coverage)
spigen thin fit,9781,1,1,0,0,0,0,0,REJECT (no coverage)
spode christmas,47162,0.967741935483871,1,0,0,0,0,0,REJECT (no coverage)
spode christmas tree,47162,0.967741935483871,1,0,0,0,0,0,REJECT (no coverage)
sport band,3147,0.88,1,0,0,0,0,0,REJECT (no coverage)
sportswear rally,3656,1,1,0,0,0,0,0,REJECT (no coverage)
spyderco byrd,52830,0.8823529411764706,1,0,0,0,0,0,REJECT (no coverage)
spyderco byrd meadowlark,52830,1,1,0,0,0,0,0,REJECT (no coverage)
st dalfour,126360,0.8125,1,0,0,0,0,0,REJECT (no coverage)
st ives,6153,0.82,1,0,0,0,0,0,REJECT (no coverage)
standard of excellence,26335,0.9230769230769231,1,0,0,0,0,0,REJECT (no coverage)
standard process,14228,0.8444444444444444,1,0,0,0,0,0,REJECT (no coverage)
stanwood wind,126640,1,1,1,0.96331803895032,0.96331803895032,0,0,PROMOTE
star low,8790,1,1,0,0,0,0,0,REJECT (no coverage)
star low top,8790,1,1,0,0,0,0,0,REJECT (no coverage)
starter replacement,1062,0.8695652173913043,1,0,0,0,0,0,REJECT (no coverage)
stealth 13,47521,0.8235294117647058,1,0,0,0,0,0,REJECT (no coverage)
stein mug,56,0.8,1,0,0,0,0,0,REJECT (no coverage)
stick wall,8041,0.9,1,0,0,0,0,0,REJECT (no coverage)
stickers for popcorn,197768,0.9,1,0,0,0,0,0,REJECT (no coverage)
stori clear,95862,1,1,0,0,0,0,0,REJECT (no coverage)
stori clear plastic,95862,1,1,0,0,0,0,0,REJECT (no coverage)
straight stretch,7594,0.9722222222222222,1,0,0,0,0,0,REJECT (no coverage)
strip display,2673,0.8181818181818182,1,0,0,0,0,0,REJECT (no coverage)
strip display rail,2673,0.9,1,0,0,0,0,0,REJECT (no coverage)
summer bridge,128128,0.875,1,0,0,0,0,0,REJECT (no coverage)
sunray adjust,3656,0.9473684210526315,1,0,0,0,0,0,REJECT (no coverage)
sunray adjust 4,3656,1,1,0,0,0,0,0,REJECT (no coverage)
super colon,87927,1,1,1,1,0.7034066032439745,0,0,PROMOTE
super colon cleanse,87927,1,1,1,1,0.7034066032439745,0,0,PROMOTE
super smash,2911,0.94,1,0,0,0,0,0,REJECT (no coverage)
super smash bros,2911,0.94,1,0,0,0,0,0,REJECT (no coverage)
surprise omg,16683,0.9714285714285714,1,1,0.22009176629808014,0.45374257454118544,0,0,PROMOTE
swatch women,108290,1,1,0,0,0,0,0,REJECT (no coverage)
swiffer sweeper,101142,0.92,1,0,0,0,0,0,REJECT (no coverage)
swim shirt long,4406,0.8947368421052632,1,0,0,0,0,0,REJECT (no coverage)
swiss army,20529,0.94,1,0,0,0,0,0,REJECT (no coverage)
swiss colony,128941,1,1,1,0.7799082337019198,0.8611375561264454,0,0,PROMOTE
syringe with needle,2211,0.8,1,0,0,0,0,0,REJECT (no coverage)
t-shirt soft foam,3355,0.9444444444444444,1,0,0,0,0,0,REJECT (no coverage)
tampax pearl,42464,0.9473684210526315,1,0,0,0,0,0,REJECT (no coverage)
taylor all,8790,1,1,0,0,0,0,0,REJECT (no coverage)
taylor all star,8790,1,1,0,0,0,0,0,REJECT (no coverage)
the best card,43340,1,1,0,0,0,0,0,REJECT (no coverage)
the division 2,21180,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
the loom,262,1,3,0,0,0,0,0,REJECT (no coverage)
the loom boy,262,1,1,0,0,0,0,0,REJECT (no coverage)
the loom boys,262,1,1,0,0,0,0,0,REJECT (no coverage)
the perfect blonde,37525,0.8947368421052632,1,0,0,0,0,0,REJECT (no coverage)
the swiss,128941,0.8947368421052632,1,1,0.7799082337019198,0.8611375561264454,0,0,PROMOTE
therma hoodie,3656,0.9090909090909091,1,1,0.47207331052714424,0.5216414792035848,0,0,PROMOTE
thick cutting,8418,0.8461538461538461,1,0,0,0,0,0,REJECT (no coverage)
thick cutting board,8418,1,1,0,0,0,0,0,REJECT (no coverage)
thin fit,9781,0.84,1,0,0,0,0,0,REJECT (no coverage)
thin fit designed,9781,0.8974358974358975,1,0,0,0,0,0,REJECT (no coverage)
thinking putty,20628,0.9047619047619048,1,0,0,0,0,0,REJECT (no coverage)
ti 84,46484,0.84,1,0,0,0,0,0,REJECT (no coverage)
ti- 84,46484,0.84,1,0,0,0,0,0,REJECT (no coverage)
timberland men's,1469,1,1,0,0,0,0,0,REJECT (no coverage)
timberland womens,1469,1,1,0,0,0,0,0,REJECT (no coverage)
time lapse camera,142671,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
timex women's,5489,1,1,0,0,0,0,0,REJECT (no coverage)
to boot,184979,0.9230769230769231,1,0,0,0,0,0,REJECT (no coverage)
to boot new,184979,1,1,0,0,0,0,0,REJECT (no coverage)
to usb a,5,0.84,1,0,0,0,0,0,REJECT (no coverage)
toddler mickey,276,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
toddler mickey mouse,276,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
toddler minnie,276,1,1,0,0,0,0,0,REJECT (no coverage)
tommy jeans,7545,1,1,1,0.6489315753318465,0.6489315753318465,0,0,PROMOTE
top max,39810,0.8333333333333334,1,1,0.2900757977385809,0.24630238874072996,0,0,PROMOTE
trainer box,257,0.9411764705882353,1,1,0.16872714292220853,0.41599630237747487,0,0,PROMOTE
transformers generations,8774,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
transformers toys,8774,1,1,0,0,0,0,0,REJECT (no coverage)
tresemme shampoo,52546,1,1,0,0,0,0,0,REJECT (no coverage)
