trigger,brand_id,catalog_purity,matched_queries,newly_admitted,native_ndcg_mean,solr_ndcg_mean,false_positives,false_positive_rate,decision
barco one,25823,1,1,0,0,0,0,0,REJECT (no coverage)
bark dark chocolate,652,0.8,1,0,0,0,0,0,REJECT (no coverage)
barton watch,5490,1,1,0,0,0,0,0,REJECT (no coverage)
baseball cleats,3656,0.8125,1,0,0,0,0,0,REJECT (no coverage)
bath robes,14254,0.8,2,0,0,0,0,0,REJECT (no coverage)
bath robes for,14254,1,1,0,0,0,0,0,REJECT (no coverage)
bathroom faucet,4609,0.8,5,0,0,0,0,0,REJECT (no coverage)
beach stealth,62795,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
beauty without,150092,1,1,0,0,0,0,0,REJECT (no coverage)
bees baby,940,0.8,2,0,0,0,0,0,REJECT (no coverage)
best card,43340,0.8461538461538461,1,0,0,0,0,0,REJECT (no coverage)
bic soleil,10,1,1,0,0,0,0,0,REJECT (no coverage)
big student,24375,0.9310344827586207,1,0,0,0,0,0,REJECT (no coverage)
big student backpack,24375,0.9411764705882353,1,0,0,0,0,0,REJECT (no coverage)
bil jac,30708,1,1,0,0,0,0,0,REJECT (no coverage)
biotech brand,51332,1,1,1,0.7799082337019198,0.933745776545611,0,0,PROMOTE
birkenstock arizona,12100,1,2,0,0,0,0,0,REJECT (no coverage)
birkenstock women,12100,1,1,0,0,0,0,0,REJECT (no coverage)
black rifle,32499,0.9444444444444444,1,0,0,0,0,0,REJECT (no coverage)
blonde hair color,75,0.8387096774193549,1,0,0,0,0,0,REJECT (no coverage)
blonde purple toning,37525,0.8125,1,0,0,0,0,0,REJECT (no coverage)
blue majik,156923,0.8181818181818182,1,0,0,0,0,0,REJECT (no coverage)
blue stained,34033,0.8,1,0,0,0,0,0,REJECT (no coverage)
body shop,34781,1,1,0,0,0,0,0,REJECT (no coverage)
body works,21369,0.84,3,0,0,0,0,0,REJECT (no coverage)
body works aromatherapy,21369,0.84,1,0,0,0,0,0,REJECT (no coverage)
boot new,184979,0.9230769230769231,1,0,0,0,0,0,REJECT (no coverage)
boot new york,184979,1,1,0,0,0,0,0,REJECT (no coverage)
boots size 7,1742,0.8333333333333334,1,0,0,0,0,0,REJECT (no coverage)
boppy nursing,35769,1,1,0,0,0,0,0,REJECT (no coverage)
boppy nursing pillow,35769,1,1,0,0,0,0,0,REJECT (no coverage)
bose lifestyle,8105,1,1,0,0,0,0,0,REJECT (no coverage)
bounty paper,36051,0.8888888888888888,3,0,0,0,0,0,REJECT (no coverage)
bounty paper towels,36051,0.9333333333333333,2,0,0,0,0,0,REJECT (no coverage)
bowers wilkins,36098,0.9473684210526315,1,1,0.5637884576902256,1,0,0,PROMOTE
box spring set,97046,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
brain toys,18691,1,1,0,0,0,0,0,REJECT (no coverage)
breathable mesh crib,23931,0.8235294117647058,1,0,0,0,0,0,REJECT (no coverage)
breathablebaby classic,23931,1,1,0,0,0,0,0,REJECT (no coverage)
bridal shoes,32,0.8461538461538461,1,0,0,0,0,0,REJECT (no coverage)
bridge activities,128128,1,1,0,0,0,0,0,REJECT (no coverage)
brighton fashionista,37535,1,1,1,1,1,0,0,PROMOTE
brook design,14076,1,1,0,0,0,0,0,REJECT (no coverage)
brooks adrenaline,7469,1,1,0,0,0,0,0,REJECT (no coverage)
brooks ghost,7469,1,2,0,0,0,0,0,REJECT (no coverage)
brooks ghost 12,7469,1,1,0,0,0,0,0,REJECT (no coverage)
brooks glycerin,7469,1,1,0,0,0,0,0,REJECT (no coverage)
brooks launch,7469,1,1,0,0,0,0,0,REJECT (no coverage)
brooks launch 6,7469,1,1,0,0,0,0,0,REJECT (no coverage)
brooks women,7469,1,1,0,0,0,0,0,REJECT (no coverage)
bros series,2911,0.98,1,0,0,0,0,0,REJECT (no coverage)
buffalo david,32815,0.96,1,0,0,0,0,0,REJECT (no coverage)
burnside men's,39315,1,1,0,0,0,0,0,REJECT (no coverage)
by carlos,16598,1,1,0,0,0,0,0,REJECT (no coverage)
by nojo,15593,1,1,0,0,0,0,0,REJECT (no coverage)
by ugg,31725,0.98,1,0,0,0,0,0,REJECT (no coverage)
by ugg womens,31725,1,1,0,0,0,0,0,REJECT (no coverage)
bye blemish,165835,1,1,1,1,1,0,0,PROMOTE
byrd meadowlark,52830,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
byrd meadowlark 2,52830,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
cable matters usb,1494,1,1,0,0,0,0,0,REJECT (no coverage)
calcium without,10435,0.8571428571428571,2,1,0.4151577146114119,0.7318317512413369,0,0,PROMOTE
candle followers,41201,1,1,1,1,1,0,0,PROMOTE
caps kids,10986,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
capsule case,92286,0.9444444444444444,1,0,0,0,0,0,REJECT (no coverage)
car alarm system,61777,0.8571428571428571,1,1,0.6039094289265273,0.9134841129412019,0,0,PROMOTE
carbon 7th,5575,1,1,0,0,0,0,0,REJECT (no coverage)
carbon 7th gen,5575,1,1,0,0,0,0,0,REJECT (no coverage)
carpet manicure,116208,1,1,0,0,0,0,0,REJECT (no coverage)
casio men's,40401,1,1,0,0,0,0,0,REJECT (no coverage)
cat 6 cable,1494,0.9655172413793104,1,0,0,0,0,0,REJECT (no coverage)
cat chow,88984,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
catholic study,21251,0.9333333333333333,1,1,0.7799082337019198,1,0,0,PROMOTE
catholic study bible,21251,0.9333333333333333,1,1,0.7799082337019198,1,0,0,PROMOTE
cell d flashlight,6009,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
cereal keeper,2905,0.9230769230769231,1,0,0,0,0,0,REJECT (no coverage)
chainette tassel,134193,1,1,0,0,0,0,0,REJECT (no coverage)
champions tshirt,15286,1,1,0,0,0,0,0,REJECT (no coverage)
christopher knight,14024,0.88,1,0,0,0,0,0,REJECT (no coverage)
chuck taylor,8790,1,2,0,0,0,0,0,REJECT (no coverage)
chuck taylor all,8790,1,1,0,0,0,0,0,REJECT (no coverage)
chuckit pro,47586,1,1,1,0.5487973376826973,0.8871572324938345,0,0,PROMOTE
chums original,41979,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
city is,596,0.9,1,0,0,0,0,0,REJECT (no coverage)
clean lean,105170,0.8823529411764706,1,0,0,0,0,0,REJECT (no coverage)
clean lean protein,105170,1,1,0,0,0,0,0,REJECT (no coverage)
club chelsea,25766,0.918918918918919,1,0,0,0,0,0,REJECT (no coverage)
cole unlisted,9669,0.96,1,0,0,0,0,0,REJECT (no coverage)
