condition,tenant_name,tenant_products,t0_rss_kb,with_tenant_rss_kb,peak_serving_rss_kb,peak_growth_kb,post_teardown_rss_kb,total_queries_served
idle_resident_mean,,,2186.7,,2430.7,244.0,2558.7,
active_resident,Furniture,16039,2248,53212,54108,896,52732,6002
active_resident,Faux Plants and Trees,5,2184,2388,2584,196,2712,82274156
active_resident,Water Filter Pitchers,1,2188,2392,2588,196,2716,195755448
