class,group_kind,group_key,group_bucket,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
category_render_filter_first_page,category_leaf,Home Improvement / Kitchen Remodel & Kitchen Fixtures / Cabinet Hardware & Cabinetry / Cabinetry / Maple Cabinetry,tiny (2-10),2,2,true,0.00010956666666666667,0.000082,0.000243,1.2739079333333334,1.246873,1.665698,11626.783693337391
color_facet_under_category_filter,category_leaf,Home Improvement / Kitchen Remodel & Kitchen Fixtures / Cabinet Hardware & Cabinetry / Cabinetry / Maple Cabinetry,tiny (2-10),2,2,true,0.0007899666666666667,0.000698,0.001201,1.2392571000000001,1.169048,3.739764,1568.7460652348202
product_class_facet_under_category_filter,category_leaf,Home Improvement / Kitchen Remodel & Kitchen Fixtures / Cabinet Hardware & Cabinetry / Cabinetry / Maple Cabinetry,tiny (2-10),2,2,true,0.00015246666666666667,0.00014,0.00035,1.2150026333333332,1.10231,3.413336,7968.972234368167
style_facet_under_category_filter,category_leaf,Home Improvement / Kitchen Remodel & Kitchen Fixtures / Cabinet Hardware & Cabinetry / Cabinetry / Maple Cabinetry,tiny (2-10),2,2,true,0.0011644000000000001,0.001162,0.001219,1.1452885333333334,1.037609,3.134899,983.5868544600938
sort_title_under_category_filter,category_leaf,Home Improvement / Kitchen Remodel & Kitchen Fixtures / Cabinet Hardware & Cabinetry / Cabinetry / Maple Cabinetry,tiny (2-10),2,2,true,0.000319,0.000319,0.000343,1.5213598666666668,1.192653,5.190097,4769.153187042843
sort_rating_desc_under_category_filter,category_leaf,Home Improvement / Kitchen Remodel & Kitchen Fixtures / Cabinet Hardware & Cabinetry / Cabinetry / Maple Cabinetry,tiny (2-10),2,2,true,0.00036546666666666664,0.000354,0.00063,1.3279446333333333,1.159266,4.514988,3633.558828894564
category_render_filter_first_page,category_leaf,Furniture / Kitchen & Dining Furniture / Dining Tables & Seating / Kitchen & Dining Room Sets / 5 Piece Kitchen & Dining Room Sets,small (11-100),13,13,true,0.00009013333333333333,0.000087,0.000138,1.9905399666666665,1.962639,2.419546,22084.393121301775
color_facet_under_category_filter,category_leaf,Furniture / Kitchen & Dining Furniture / Dining Tables & Seating / Kitchen & Dining Room Sets / 5 Piece Kitchen & Dining Room Sets,small (11-100),13,13,true,0.0078689,0.006134,0.011789,1.0229370666666666,1.005573,1.285071,129.99746682086018
product_class_facet_under_category_filter,category_leaf,Furniture / Kitchen & Dining Furniture / Dining Tables & Seating / Kitchen & Dining Room Sets / 5 Piece Kitchen & Dining Room Sets,small (11-100),13,13,true,0.0005088333333333334,0.000506,0.00055,0.9765863333333333,0.943052,1.503444,1919.2656403537503
style_facet_under_category_filter,category_leaf,Furniture / Kitchen & Dining Furniture / Dining Tables & Seating / Kitchen & Dining Room Sets / 5 Piece Kitchen & Dining Room Sets,small (11-100),13,13,true,0.0064582,0.006274,0.009083,1.0722653,0.966261,3.932355,166.031603233099
