operation,checkpoint,candidates,lucene_p50_ms,lucene_mean_ms,solr_count,count_match
filter_only,Rugs,2002,0.1509,0.1542,2002,true
product_class_facet_under_category,Rugs,2002,2.2258,2.3704,,n/a
color_facet_under_category,Rugs,2002,1.5275,1.8005,,n/a
product_class_facet_module_under_category,Rugs,2002,1.1598,1.1402,,n/a
color_facet_module_under_category,Rugs,2002,1.1498,1.1538,,n/a
sort_title_asc,Rugs,2002,1.2752,1.2808,,n/a
sort_rating_desc,Rugs,2002,0.7838,0.6786,,n/a
deep_pagination,Rugs,2002,2.0013,1.9307,,n/a
filter_only,Storage & Organization,2175,0.0320,0.0419,2175,true
product_class_facet_under_category,Storage & Organization,2175,3.2999,3.3638,,n/a
color_facet_under_category,Storage & Organization,2175,1.3471,1.3567,,n/a
product_class_facet_module_under_category,Storage & Organization,2175,0.9438,0.9339,,n/a
color_facet_module_under_category,Storage & Organization,2175,0.9601,0.9488,,n/a
sort_title_asc,Storage & Organization,2175,0.8697,0.8881,,n/a
sort_rating_desc,Storage & Organization,2175,0.1926,0.1831,,n/a
deep_pagination,Storage & Organization,2175,1.2353,1.1827,,n/a
filter_only,Lighting,2072,0.0192,0.0228,2072,true
product_class_facet_under_category,Lighting,2072,2.1425,2.1672,,n/a
color_facet_under_category,Lighting,2072,0.2290,0.2505,,n/a
product_class_facet_module_under_category,Lighting,2072,0.4566,0.4695,,n/a
color_facet_module_under_category,Lighting,2072,0.4196,0.4455,,n/a
sort_title_asc,Lighting,2072,0.6915,0.6921,,n/a
sort_rating_desc,Lighting,2072,0.1286,0.1452,,n/a
deep_pagination,Lighting,2072,0.9843,1.1480,,n/a
filter_only,Outdoor,3394,0.0143,0.0213,3394,true
product_class_facet_under_category,Outdoor,3394,3.3425,3.3185,,n/a
color_facet_under_category,Outdoor,3394,2.0042,2.0699,,n/a
product_class_facet_module_under_category,Outdoor,3394,0.6902,0.7015,,n/a
color_facet_module_under_category,Outdoor,3394,0.9526,0.9809,,n/a
sort_title_asc,Outdoor,3394,0.7637,0.7720,,n/a
sort_rating_desc,Outdoor,3394,0.1964,0.2187,,n/a
deep_pagination,Outdoor,3394,1.3750,1.3672,,n/a
filter_only,Décor & Pillows,4612,0.0136,0.0192,4612,true
product_class_facet_under_category,Décor & Pillows,4612,3.5717,3.8755,,n/a
color_facet_under_category,Décor & Pillows,4612,4.3097,4.4295,,n/a
product_class_facet_module_under_category,Décor & Pillows,4612,0.6290,0.6524,,n/a
color_facet_module_under_category,Décor & Pillows,4612,1.8324,1.8189,,n/a
sort_title_asc,Décor & Pillows,4612,0.8479,0.8501,,n/a
sort_rating_desc,Décor & Pillows,4612,0.1776,0.1851,,n/a
deep_pagination,Décor & Pillows,4612,1.4304,1.4333,,n/a
filter_only,Home Improvement,4686,0.0141,0.0191,4686,true
product_class_facet_under_category,Home Improvement,4686,3.1756,3.2298,,n/a
color_facet_under_category,Home Improvement,4686,2.4621,2.3934,,n/a
product_class_facet_module_under_category,Home Improvement,4686,0.6424,0.6708,,n/a
color_facet_module_under_category,Home Improvement,4686,1.0092,1.0515,,n/a
sort_title_asc,Home Improvement,4686,0.6284,0.6316,,n/a
sort_rating_desc,Home Improvement,4686,0.1931,0.1910,,n/a
deep_pagination,Home Improvement,4686,1.4761,1.4988,,n/a
filter_only,Furniture,16039,0.0123,0.0124,16039,true
product_class_facet_under_category,Furniture,16039,18.8087,18.9772,,n/a
color_facet_under_category,Furniture,16039,5.6809,5.7695,,n/a
product_class_facet_module_under_category,Furniture,16039,1.5049,1.5299,,n/a
color_facet_module_under_category,Furniture,16039,2.0987,2.1414,,n/a
sort_title_asc,Furniture,16039,1.1072,1.1319,,n/a
sort_rating_desc,Furniture,16039,0.4615,0.4774,,n/a
deep_pagination,Furniture,16039,3.4080,3.6222,,n/a
numeric_range_rating,whole_catalog,31967,0.1701,0.1808,31967,true
