ratio_threshold,admitted,coverage_pct_of_ambiguous,coverage_pct_of_whole_corpus,native_ndcg_mean,solr_ndcg_on_admitted_mean,ndcg_delta_on_admitted,whole_workload_ndcg,whole_workload_degradation,false_positive_admissions
1,24,0.4795204795204795,0.10686615014694097,0.08358833947653128,0.1510198747708439,-0.0674315352943126,0.23343620075039642,0.00007206148575400473,7
2,23,0.4595404595404595,0.10241339389081842,0.08722261510594569,0.15439622053916927,-0.06717360543322358,0.23343946746702746,0.00006879476912297067,6
3,23,0.4595404595404595,0.10241339389081842,0.08722261510594569,0.15439622053916927,-0.06717360543322358,0.23343946746702746,0.00006879476912297067,6
5,23,0.4595404595404595,0.10241339389081842,0.08722261510594569,0.15439622053916927,-0.06717360543322358,0.23343946746702746,0.00006879476912297067,6
10,23,0.4595404595404595,0.10241339389081842,0.08722261510594569,0.15439622053916927,-0.06717360543322358,0.23343946746702746,0.00006879476912297067,6
20,16,0.3196803196803197,0.07124410009796063,0.10294787107906977,0.16678316805162133,-0.06383529697255155,0.23346278335327753,0.00004547888287290136,4
50,5,0.0999000999000999,0.0222637812806127,0.053485238877103915,0.058520632239014145,-0.00503539336191023,0.2335071411671857,0.0000011210689647156435,2
100,2,0.03996003996003996,0.008905512512245079,0,0.02120692939965057,-0.02120692939965057,0.23350637365039925,0.0000018885857511752313,1
