structural_cap,anchored_lexical_cap,structural_admitted,anchored_admitted,coverage_pct,whole_workload_ndcg,whole_workload_degradation,weighted_mean_latency_ms
50,1,82,240,1.4337875144714578,0.2322207285700437,0.0012875336661067605,2.5236345726240086
50,20,82,1110,5.307685457298068,0.22903461995987018,0.004473642276280276,2.4245065715687057
50,250,82,1526,7.160032059845044,0.22650052090025333,0.0070077413358971274,2.377107435431917
250,1,164,240,1.7989135274735062,0.2319399659028383,0.0015682963333121525,2.5142901340448836
250,20,164,1110,5.6728114703001165,0.22875385729266476,0.004754404943485696,2.4151621329895803
250,250,164,1526,7.525158072847092,0.22621975823304794,0.0072885040031025194,2.367762996852792
