structural_cap,anchored_cap,single_token_cap,structural_admitted,anchored_admitted,single_token_admitted,coverage_pct,whole_workload_ndcg,whole_workload_degradation
50,1,20,82,240,279,2.6761065099296464,0.23131203142347279,0.0021962308126784458
50,1,200000,82,240,823,5.098405913260308,0.22815859840430977,0.005349663831841461
50,20,20,82,1110,279,6.550004452756256,0.22812592281329921,0.005382339422852017
50,20,200000,82,1110,823,8.972303856086917,0.22497248979413625,0.008535772442014977
250,1,20,164,240,279,3.0412325229316948,0.23103126875626734,0.0024769934798838933
250,1,200000,164,240,823,5.463531926262356,0.22787783573710446,0.00563042649904677
250,20,20,164,1110,279,6.915130465758304,0.22784516014609377,0.005663102090057465
250,20,200000,164,1110,823,9.337429869088966,0.22469172712693072,0.008816535109220508
