order,tenant_count,tenant_name,tenant_products,cumulative_products,marginal_rss_kb,rss_kb_per_tenant,cumulative_index_bytes,index_bytes_per_tenant,build_ms_cumulative
reversed,1,Bath Rugs & Mats,1,1,108,108.00,1292,1292.00,0.47
reversed,5,Hooks,1,5,108,21.60,4654,930.80,0.60
reversed,10,Physical Education Equipment,1,10,108,10.80,9038,903.80,0.77
reversed,25,Early Education,3,35,108,4.32,35608,1424.32,1.42
reversed,55,Furniture,16039,41438,37476,681.38,9843378,178970.51,479.52
