condition,p50_ms,p99_ms,n,ratio_vs_baseline_p50,ratio_vs_baseline_p99,churns_completed,churns_per_sec
baseline,1.3755,2.1270,500,1.0,1.0,,
under_churn,1.5684,10.7464,500,1.1402,5.0523,5,1.00
