condition,p50_ms,p99_ms,n,ratio_vs_baseline_p50,ratio_vs_baseline_p99,churns_completed,churns_per_sec
baseline,1.5236,1.9084,500,1.0,1.0,,
under_churn,1.7445,12.7928,500,1.1450,6.7036,5,1.00
