system,workers,total_requests,throughput_rps,p50_ms,p99_ms
native,1,8866048,2955349.3333333335,0.00015,0.000516
native,2,15497173,5165724.333333333,0.000186,0.000471
native,4,31889510,10629836.666666666,0.000142,0.000429
native,8,31943302,10647767.333333334,0.000142,0.000453
solr,1,5024,1674.6666666666667,0.563541,1.110765
solr,2,11326,3775.3333333333335,0.479086,1.222525
solr,4,14857,4952.333333333333,0.714652,2.504215
solr,8,18644,6214.666666666667,1.149671,3.502007
