n_tenants,quiet_total_requests,quiet_throughput_rps,quiet_p50_ms,quiet_p99_ms,rps_ratio_vs_n55,p99_ratio_vs_n55,slo_pass,noisy_total_requests,rss_kb
55,2843,710.75,1.2885,4.1036,1.000,1.000,true,20738,249876
2000,3023,755.75,1.2856,1.8714,1.063,0.456,true,17955,5612584
3500,2942,735.50,1.3083,2.0028,1.035,0.488,true,17424,9637036
