n_tenants,quiet_total_requests,quiet_throughput_rps,quiet_p50_ms,quiet_p99_ms,noisy_total_requests,rss_kb
55,3015,753.75,1.2973,1.8040,21283,248700
200,3039,759.75,1.2880,1.7801,16890,696356
500,3037,759.25,1.2663,1.9503,17454,1544880
1000,3035,758.75,1.2835,1.8331,17805,2920212
2000,2801,700.25,1.3793,1.9573,18153,5612932
