n_tenants,quiet_total_requests,quiet_throughput_rps,quiet_p50_ms,quiet_p99_ms,noisy_total_requests,rss_kb
55,3028,757.00,1.2905,1.8582,21979,248724
200,3041,760.25,1.2720,1.9088,17208,696376
500,3111,777.75,1.2654,1.6562,16515,1544824
1000,2878,719.50,1.3076,2.1200,16540,2920204
2000,2851,712.75,1.3719,1.9920,17112,5612948
