tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
5x,214970,3240.89,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Rugs,10010,10010,true,10.4386712,10.4580,11.7153,1.4935,1.5008,1.8498,0.14
5x,214970,3240.89,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Storage & Organization,10875,10875,true,18.402039733333336,17.9679,25.2157,1.5440,1.5406,2.0813,0.08
5x,214970,3240.89,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Lighting,10360,10360,true,12.949196833333334,12.8741,15.5450,1.5980,1.5776,1.8133,0.12
5x,214970,3240.89,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Outdoor,16970,16970,true,28.541600666666668,28.3655,30.4720,26.4013,2.1173,702.5833,0.93
5x,214970,3240.89,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Décor & Pillows,23060,23060,true,32.80536966666667,32.4730,41.0098,1.7718,1.7314,2.2922,0.05
5x,214970,3240.89,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Home Improvement,23430,23430,true,28.752800233333335,28.2075,33.6966,1.8306,1.7346,3.2062,0.06
5x,214970,3240.89,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Furniture,80195,80195,true,85.40902946666667,84.4320,107.9024,2.5960,2.5617,3.0517,0.03
5x,214970,3240.89,37129734,172.72,872436,numeric_range_average_rating_gte,4,159835,159835,true,1.1641963666666666,1.1641,1.3827,0.8424,0.6000,4.6869,0.72
5x,214970,3240.89,37129734,172.72,872436,numeric_range_average_rating_gte,4.5,141995,141995,true,1.0145151666666665,1.0023,1.1181,0.6191,0.6103,0.7940,0.61
5x,214970,3240.89,37129734,172.72,872436,mixed_depth1_and_rating_filter,Furniture+rating>=4,57150,57150,true,1.1490157666666665,1.1431,1.3107,0.6321,0.6248,0.8160,0.55
