tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
5x,214970,3204.58,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Rugs,10010,10010,true,11.733464933333334,11.6446,15.4347,1.5551,1.4296,3.8383,0.13
5x,214970,3204.58,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Storage & Organization,10875,10875,true,15.431937866666667,15.0307,20.8658,1.3534,1.3598,1.5135,0.09
5x,214970,3204.58,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Lighting,10360,10360,true,11.451937333333333,11.4086,13.2021,1.2494,1.2040,1.5008,0.11
5x,214970,3204.58,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Outdoor,16970,16970,true,23.488416933333333,23.3428,24.9781,1.6508,1.6091,2.1138,0.07
5x,214970,3204.58,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Décor & Pillows,23060,23060,true,32.91052416666667,32.7642,36.1042,1.8771,1.9082,2.0443,0.06
5x,214970,3204.58,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Home Improvement,23430,23430,true,29.327507033333337,28.9984,33.2412,1.7051,1.6103,4.6857,0.06
5x,214970,3204.58,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Furniture,80195,80195,true,85.54665003333334,85.1571,92.0777,2.4285,2.3909,2.7234,0.03
5x,214970,3204.58,37129734,172.72,872312,numeric_range_average_rating_gte,4,159835,159835,true,1.1468763333333332,1.1335,1.3004,0.6457,0.6421,0.9142,0.56
5x,214970,3204.58,37129734,172.72,872312,numeric_range_average_rating_gte,4.5,141995,141995,true,1.0075282333333333,0.9978,1.1043,0.6201,0.6228,0.7456,0.62
5x,214970,3204.58,37129734,172.72,872312,mixed_depth1_and_rating_filter,Furniture+rating>=4,57150,57150,true,1.1339534333333334,1.1203,1.2062,0.6505,0.6614,0.7601,0.57
