tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
5x,214970,3233.27,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Rugs,10010,10010,true,14.174342066666666,14.1469,15.3828,1.5392,1.5164,1.8130,0.11
5x,214970,3233.27,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Storage & Organization,10875,10875,true,15.064186966666666,14.9126,18.3609,1.5760,1.5513,2.1268,0.10
5x,214970,3233.27,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Lighting,10360,10360,true,11.2658221,11.8316,12.5442,1.4098,1.3853,1.7457,0.13
5x,214970,3233.27,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Outdoor,16970,16970,true,23.679598466666665,23.5792,25.2135,1.9800,1.9845,2.4222,0.08
5x,214970,3233.27,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Décor & Pillows,23060,23060,true,32.160009466666665,31.9085,33.8884,2.0093,1.9523,2.7974,0.06
5x,214970,3233.27,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Home Improvement,23430,23430,true,28.4500077,28.4754,30.4124,1.6370,1.6353,1.8725,0.06
5x,214970,3233.27,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Furniture,80195,80195,true,84.93544846666667,83.9785,98.6477,2.8819,2.7585,3.8197,0.03
5x,214970,3233.27,37129734,172.72,872312,numeric_range_average_rating_gte,4,159835,159835,true,1.1353290333333335,1.1239,1.2576,0.7415,0.7315,0.9340,0.65
5x,214970,3233.27,37129734,172.72,872312,numeric_range_average_rating_gte,4.5,141995,141995,true,1.0029055666666666,0.9928,1.2095,0.6557,0.6496,0.8057,0.65
5x,214970,3233.27,37129734,172.72,872312,mixed_depth1_and_rating_filter,Furniture+rating>=4,57150,57150,true,1.1343412,1.1332,1.1999,0.7085,0.7278,0.8396,0.62
