condition,tenant_name,tenant_products,t0_rss_kb,with_tenant_rss_kb,peak_serving_rss_kb,peak_growth_kb,first_half_growth_kb,second_half_growth_kb,decelerating,total_queries_served
idle_resident,,,2248,,2492,244,244,0,true,
active_resident,Furniture,16039,2180,53080,54104,1024,1004,20,true,50764
