tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
5x,214970,3326.51,37129734,172.72,872372,color_facet_under_depth1_crossover_sweep,Rugs,10010,10010,true,11.359871133333332,11.2644,12.9478,1.7725,1.5732,5.1566,0.16
5x,214970,3326.51,37129734,172.72,872372,color_facet_under_depth1_crossover_sweep,Storage & Organization,10875,10875,true,17.072413366666666,16.3927,22.2813,1.5787,1.5801,2.1154,0.09
5x,214970,3326.51,37129734,172.72,872372,color_facet_under_depth1_crossover_sweep,Lighting,10360,10360,true,12.413920266666668,12.5329,13.2801,1.4015,1.3622,1.7246,0.11
5x,214970,3326.51,37129734,172.72,872372,color_facet_under_depth1_crossover_sweep,Outdoor,16970,16970,true,23.283561133333333,23.2695,24.4895,1.5797,1.5871,1.8561,0.07
5x,214970,3326.51,37129734,172.72,872372,color_facet_under_depth1_crossover_sweep,Décor & Pillows,23060,23060,true,31.7693793,31.7944,33.1458,1.8282,1.8426,1.9892,0.06
5x,214970,3326.51,37129734,172.72,872372,color_facet_under_depth1_crossover_sweep,Home Improvement,23430,23430,true,27.930096033333335,27.8655,29.9843,1.6120,1.6063,1.8732,0.06
5x,214970,3326.51,37129734,172.72,872372,color_facet_under_depth1_crossover_sweep,Furniture,80195,80195,true,83.4471869,82.8960,91.3847,2.6060,2.5386,3.3612,0.03
5x,214970,3326.51,37129734,172.72,872372,numeric_range_average_rating_gte,4,159835,159835,true,1.1435188333333333,1.1241,1.5244,0.6722,0.6585,0.9051,0.59
5x,214970,3326.51,37129734,172.72,872372,numeric_range_average_rating_gte,4.5,141995,141995,true,1.024603,1.0002,1.2633,0.7148,0.6963,1.0268,0.70
5x,214970,3326.51,37129734,172.72,872372,mixed_depth1_and_rating_filter,Furniture+rating>=4,57150,57150,true,1.2860561333333334,1.1613,2.0072,0.7372,0.7228,0.9274,0.57
