tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
1x,42994,666.24,8108054,188.59,191032,color_facet_under_depth1_crossover_sweep,Rugs,2002,2002,true,1.2123086333333333,1.2075,1.3819,1.7883,1.5089,5.5494,1.48
1x,42994,666.24,8108054,188.59,191032,color_facet_under_depth1_crossover_sweep,Storage & Organization,2175,2175,true,1.6080165666666666,1.5969,1.8969,1.5480,1.5027,2.3137,0.96
1x,42994,666.24,8108054,188.59,191032,color_facet_under_depth1_crossover_sweep,Lighting,2072,2072,true,1.3138416333333334,1.2686,1.9906,1.4858,1.4555,2.0162,1.13
1x,42994,666.24,8108054,188.59,191032,color_facet_under_depth1_crossover_sweep,Outdoor,3394,3394,true,2.6422002666666664,2.6323,2.7519,1.5239,1.4787,2.0441,0.58
1x,42994,666.24,8108054,188.59,191032,color_facet_under_depth1_crossover_sweep,Décor & Pillows,4612,4612,true,3.9943546000000003,3.9636,4.4170,1.5826,1.5821,1.8348,0.40
1x,42994,666.24,8108054,188.59,191032,color_facet_under_depth1_crossover_sweep,Home Improvement,4686,4686,true,3.6849243333333335,3.5608,4.8064,1.5650,1.4742,4.0453,0.42
1x,42994,666.24,8108054,188.59,191032,color_facet_under_depth1_crossover_sweep,Furniture,16039,16039,true,17.7997771,17.4624,20.1380,1.8519,1.6978,4.9201,0.10
1x,42994,666.24,8108054,188.59,191032,numeric_range_average_rating_gte,4,31967,31967,true,0.27449393333333333,0.2644,0.3679,0.8857,0.8811,1.2902,3.23
1x,42994,666.24,8108054,188.59,191032,numeric_range_average_rating_gte,4.5,28399,28399,true,0.2225455,0.2214,0.2571,0.9603,0.9507,1.1641,4.32
1x,42994,666.24,8108054,188.59,191032,mixed_depth1_and_rating_filter,Furniture+rating>=4,11430,11430,true,0.27601943333333334,0.2675,0.3555,1.0908,0.9302,5.8097,3.95
