tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
5x,214970,3273.93,37129734,172.72,872492,color_facet_under_depth1_crossover_sweep,Rugs,10010,10010,true,12.0069032,11.9242,13.4687,1.5374,1.4765,2.0092,0.13
5x,214970,3273.93,37129734,172.72,872492,color_facet_under_depth1_crossover_sweep,Storage & Organization,10875,10875,true,14.4721598,14.4020,15.5331,1.5135,1.5022,1.7511,0.10
5x,214970,3273.93,37129734,172.72,872492,color_facet_under_depth1_crossover_sweep,Lighting,10360,10360,true,11.8837646,11.9613,14.0666,1.7179,1.4896,5.3279,0.14
5x,214970,3273.93,37129734,172.72,872492,color_facet_under_depth1_crossover_sweep,Outdoor,16970,16970,true,27.4277933,27.1545,30.2340,1.6296,1.6145,2.0036,0.06
5x,214970,3273.93,37129734,172.72,872492,color_facet_under_depth1_crossover_sweep,Décor & Pillows,23060,23060,true,36.01269843333333,35.9443,37.6755,1.9143,1.8941,2.2307,0.05
5x,214970,3273.93,37129734,172.72,872492,color_facet_under_depth1_crossover_sweep,Home Improvement,23430,23430,true,32.275317066666666,31.9821,35.3063,1.6526,1.6382,2.0506,0.05
5x,214970,3273.93,37129734,172.72,872492,color_facet_under_depth1_crossover_sweep,Furniture,80195,80195,true,96.60049070000001,96.7682,104.7119,2.7063,2.7138,3.1307,0.03
5x,214970,3273.93,37129734,172.72,872492,numeric_range_average_rating_gte,4,159835,159835,true,1.163326,1.1284,1.5452,0.8025,0.7745,1.0849,0.69
5x,214970,3273.93,37129734,172.72,872492,numeric_range_average_rating_gte,4.5,141995,141995,true,1.0351845666666666,1.0124,1.2642,0.7435,0.7355,0.9227,0.72
5x,214970,3273.93,37129734,172.72,872492,mixed_depth1_and_rating_filter,Furniture+rating>=4,57150,57150,true,1.1458789666666667,1.1332,1.2509,0.7115,0.6961,0.9003,0.62
