tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
2x,85988,1276.36,15413890,179.26,363956,color_facet_under_depth1_crossover_sweep,Rugs,4004,4004,true,2.6186792666666667,2.5883,3.2454,1.3625,1.3114,2.3084,0.52
2x,85988,1276.36,15413890,179.26,363956,color_facet_under_depth1_crossover_sweep,Storage & Organization,4350,4350,true,3.3400698666666666,3.3454,3.5016,1.3480,1.3383,1.7652,0.40
2x,85988,1276.36,15413890,179.26,363956,color_facet_under_depth1_crossover_sweep,Lighting,4144,4144,true,2.6439188666666666,2.6414,2.7173,1.3824,1.3004,2.9299,0.52
2x,85988,1276.36,15413890,179.26,363956,color_facet_under_depth1_crossover_sweep,Outdoor,6788,6788,true,7.876334333333333,7.8416,8.8403,1.4403,1.4146,1.7226,0.18
2x,85988,1276.36,15413890,179.26,363956,color_facet_under_depth1_crossover_sweep,Décor & Pillows,9224,9224,true,12.570351033333333,12.4252,16.2509,1.5483,1.5312,2.0933,0.12
2x,85988,1276.36,15413890,179.26,363956,color_facet_under_depth1_crossover_sweep,Home Improvement,9372,9372,true,10.9111229,10.8951,11.9780,1.5394,1.4868,2.0328,0.14
2x,85988,1276.36,15413890,179.26,363956,color_facet_under_depth1_crossover_sweep,Furniture,32078,32078,true,37.937273633333334,37.6853,40.5878,1.8252,1.8086,2.1995,0.05
2x,85988,1276.36,15413890,179.26,363956,numeric_range_average_rating_gte,4,63934,63934,true,0.5573278333333334,0.5592,0.6358,0.7304,0.7216,1.2136,1.31
2x,85988,1276.36,15413890,179.26,363956,numeric_range_average_rating_gte,4.5,56798,56798,true,0.45043083333333334,0.4499,0.4952,0.7015,0.6838,0.9722,1.56
2x,85988,1276.36,15413890,179.26,363956,mixed_depth1_and_rating_filter,Furniture+rating>=4,22860,22860,true,0.5633725333333334,0.5638,0.6473,0.9451,0.7662,5.9957,1.68
