tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
1x,42994,641.30,8108054,188.59,190912,color_facet_under_depth1_crossover_sweep,Rugs,2002,2002,true,1.2192113666666666,1.2003,1.3613,1.4007,1.4033,1.7329,1.15
1x,42994,641.30,8108054,188.59,190912,color_facet_under_depth1_crossover_sweep,Storage & Organization,2175,2175,true,1.5367445666666666,1.5326,1.7690,1.3550,1.3222,1.7301,0.88
1x,42994,641.30,8108054,188.59,190912,color_facet_under_depth1_crossover_sweep,Lighting,2072,2072,true,1.4549476333333333,1.2792,2.1384,1.3404,1.3291,1.6223,0.92
1x,42994,641.30,8108054,188.59,190912,color_facet_under_depth1_crossover_sweep,Outdoor,3394,3394,true,2.6616736333333333,2.6253,3.0628,1.3723,1.3804,1.5549,0.52
1x,42994,641.30,8108054,188.59,190912,color_facet_under_depth1_crossover_sweep,Décor & Pillows,4612,4612,true,3.929307033333333,3.9114,4.2239,1.4228,1.3922,1.6953,0.36
1x,42994,641.30,8108054,188.59,190912,color_facet_under_depth1_crossover_sweep,Home Improvement,4686,4686,true,3.589266433333333,3.5387,4.1565,1.4658,1.4049,3.2293,0.41
1x,42994,641.30,8108054,188.59,190912,color_facet_under_depth1_crossover_sweep,Furniture,16039,16039,true,17.088072399999998,16.9541,19.6373,1.5620,1.5561,1.9368,0.09
1x,42994,641.30,8108054,188.59,190912,numeric_range_average_rating_gte,4,31967,31967,true,0.27605690000000005,0.2697,0.3374,0.9029,0.7703,3.6862,3.27
1x,42994,641.30,8108054,188.59,190912,numeric_range_average_rating_gte,4.5,28399,28399,true,0.2292215,0.2232,0.2923,0.8030,0.7936,1.1001,3.50
1x,42994,641.30,8108054,188.59,190912,mixed_depth1_and_rating_filter,Furniture+rating>=4,11430,11430,true,0.29449443333333336,0.2682,0.5013,0.8362,0.8351,1.0456,2.84
