tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
5x,214970,3329.52,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Rugs,10010,10010,true,10.961135933333333,10.9764,11.8539,1.5908,1.4988,3.6846,0.15
5x,214970,3329.52,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Storage & Organization,10875,10875,true,14.2120236,14.1949,15.5532,1.5202,1.5106,1.7480,0.11
5x,214970,3329.52,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Lighting,10360,10360,true,11.573345066666667,11.5896,12.1675,1.4643,1.4132,3.4401,0.13
5x,214970,3329.52,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Outdoor,16970,16970,true,23.357902533333334,23.1126,25.6248,1.7502,1.7523,2.3128,0.07
5x,214970,3329.52,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Décor & Pillows,23060,23060,true,31.372255266666667,31.2572,33.6021,1.8524,1.8223,2.1408,0.06
5x,214970,3329.52,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Home Improvement,23430,23430,true,28.465253733333334,28.1358,34.5057,1.6903,1.6784,2.1584,0.06
5x,214970,3329.52,37129734,172.72,872436,color_facet_under_depth1_crossover_sweep,Furniture,80195,80195,true,82.09072806666666,82.0334,86.5856,2.6137,2.5869,2.9549,0.03
5x,214970,3329.52,37129734,172.72,872436,numeric_range_average_rating_gte,4,159835,159835,true,1.1303922333333334,1.1218,1.1959,0.6782,0.6704,0.9030,0.60
5x,214970,3329.52,37129734,172.72,872436,numeric_range_average_rating_gte,4.5,141995,141995,true,0.9893594333333333,0.9866,1.0517,0.6734,0.6737,0.8072,0.68
5x,214970,3329.52,37129734,172.72,872436,mixed_depth1_and_rating_filter,Furniture+rating>=4,57150,57150,true,1.1272809666666666,1.1215,1.1948,0.6818,0.6810,0.8242,0.60
