tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
5x,214970,3232.31,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Rugs,10010,10010,true,11.4427975,11.7451,13.1798,1.4795,1.4792,1.9084,0.13
5x,214970,3232.31,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Storage & Organization,10875,10875,true,16.768381599999998,16.8251,17.7407,1.5461,1.4679,3.7945,0.09
5x,214970,3232.31,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Lighting,10360,10360,true,14.733067199999999,14.8377,15.6018,1.4320,1.4386,1.6968,0.10
5x,214970,3232.31,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Outdoor,16970,16970,true,26.875730166666667,26.8096,28.5204,1.6988,1.6943,1.9067,0.06
5x,214970,3232.31,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Décor & Pillows,23060,23060,true,36.58611703333333,36.3428,38.9902,1.8780,1.8727,2.1988,0.05
5x,214970,3232.31,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Home Improvement,23430,23430,true,32.0507318,31.7668,33.9353,1.6776,1.6649,1.9290,0.05
5x,214970,3232.31,37129734,172.72,872312,color_facet_under_depth1_crossover_sweep,Furniture,80195,80195,true,83.3019478,83.3014,85.8226,3.1394,3.3218,4.1124,0.04
5x,214970,3232.31,37129734,172.72,872312,numeric_range_average_rating_gte,4,159835,159835,true,1.1379290333333334,1.1209,1.6263,0.6190,0.6183,0.7256,0.54
5x,214970,3232.31,37129734,172.72,872312,numeric_range_average_rating_gte,4.5,141995,141995,true,0.9960085,0.9933,1.0686,0.7050,0.6538,2.1658,0.71
5x,214970,3232.31,37129734,172.72,872312,mixed_depth1_and_rating_filter,Furniture+rating>=4,57150,57150,true,1.1277523999999999,1.1269,1.1934,0.7238,0.7210,0.8724,0.64
