tier,n_products,build_ms,index_bytes,index_bytes_per_product,rss_after_build_kb,class,key,native_count,solr_count,counts_match,native_mean_ms,native_p50_ms,native_p99_ms,solr_mean_ms,solr_p50_ms,solr_p99_ms,speedup_mean
2x,85988,1280.54,15413890,179.26,364152,color_facet_under_depth1_crossover_sweep,Rugs,4004,4004,true,2.5267936,2.5250,2.6090,1.4753,1.4175,2.9792,0.58
2x,85988,1280.54,15413890,179.26,364152,color_facet_under_depth1_crossover_sweep,Storage & Organization,4350,4350,true,3.2128874,3.2091,3.4104,1.3720,1.3569,1.6891,0.43
2x,85988,1280.54,15413890,179.26,364152,color_facet_under_depth1_crossover_sweep,Lighting,4144,4144,true,2.6836657333333336,2.5775,3.7854,1.4049,1.3583,1.8617,0.52
2x,85988,1280.54,15413890,179.26,364152,color_facet_under_depth1_crossover_sweep,Outdoor,6788,6788,true,7.1180617999999996,6.9921,9.1505,1.4950,1.4144,3.0336,0.21
2x,85988,1280.54,15413890,179.26,364152,color_facet_under_depth1_crossover_sweep,Décor & Pillows,9224,9224,true,13.680408433333334,13.6613,15.6075,1.7153,1.6832,2.1513,0.13
2x,85988,1280.54,15413890,179.26,364152,color_facet_under_depth1_crossover_sweep,Home Improvement,9372,9372,true,12.7736906,12.3028,17.6909,1.4368,1.4446,1.6893,0.11
2x,85988,1280.54,15413890,179.26,364152,color_facet_under_depth1_crossover_sweep,Furniture,32078,32078,true,39.3042679,39.5062,43.1000,1.9869,1.8113,4.5868,0.05
2x,85988,1280.54,15413890,179.26,364152,numeric_range_average_rating_gte,4,63934,63934,true,0.5764931333333333,0.5664,0.6984,0.7970,0.7979,1.0075,1.38
2x,85988,1280.54,15413890,179.26,364152,numeric_range_average_rating_gte,4.5,56798,56798,true,0.46953490000000003,0.4613,0.5896,1.1088,0.8256,6.3440,2.36
2x,85988,1280.54,15413890,179.26,364152,mixed_depth1_and_rating_filter,Furniture+rating>=4,22860,22860,true,0.5735639,0.5785,0.6141,0.9253,0.8277,3.1877,1.61
