tenant_count,replica_index,cumulative_products,rss_kb,linear_prediction_rss_kb,ratio_to_linear,build_ms_cumulative
100,1,82866,104428,104536,0.999,1211.37
200,3,165728,208816,209072,0.999,2387.33
300,5,248568,313056,313608,0.998,3535.30
400,7,331045,415720,418144,0.994,4757.50
500,9,403848,520184,522680,0.995,5839.99
600,10,455813,575420,574948,1.001,6594.24
700,12,538679,679928,679484,1.001,7798.98
800,14,621535,784236,784020,1.000,9010.30
900,16,704320,888116,888556,1.000,10205.87
1000,18,785548,991068,993092,0.998,11411.40
1100,19,828760,1046396,1045360,1.001,12079.90
1200,21,911626,1150864,1149896,1.001,13288.04
1300,23,994488,1255288,1254432,1.001,14461.58
1400,25,1077328,1359512,1358968,1.000,15700.53
1500,27,1159805,1462168,1463504,0.999,16860.24
1600,29,1232608,1566596,1568040,0.999,17929.67
1700,30,1284573,1621816,1620308,1.001,18654.20
1800,32,1367439,1726304,1724844,1.001,19874.02
1900,34,1450295,1830628,1829380,1.001,21074.33
2000,36,1533080,1934536,1933916,1.000,22232.64
2100,38,1614308,2037512,2038452,1.000,23383.70
2200,39,1657520,2092848,2090720,1.001,23987.85
2300,41,1740386,2197324,2195256,1.001,25189.35
2400,43,1823248,2301716,2299792,1.001,26389.81
2500,45,1906088,2405940,2404328,1.001,27556.38
2600,47,1988565,2508604,2508864,1.000,28768.55
2700,49,2061368,2613048,2613400,1.000,29862.04
2800,50,2113333,2668276,2665668,1.001,30597.31
2900,52,2196199,2772784,2770204,1.001,31849.92
3000,54,2279055,2877076,2874740,1.001,33052.99
3100,56,2361840,2980952,2979276,1.001,34265.40
3200,58,2443068,3083920,3083812,1.000,35493.27
3300,59,2486280,3139264,3136080,1.001,36141.94
3400,61,2569146,3243740,3240616,1.001,37470.24
3500,63,2652008,3348148,3345152,1.001,38713.14
3600,65,2734848,3452380,3449688,1.001,40121.83
3700,67,2817325,3555036,3554224,1.000,41541.99
3800,69,2890128,3659464,3658760,1.000,42750.96
3900,70,2942093,3714692,3711028,1.001,43626.13
4000,72,3024959,3819200,3815564,1.001,45409.26
4100,74,3107815,3925692,3920100,1.001,47151.40
4200,76,3190600,4027368,4024636,1.001,48805.80
4300,78,3271828,4130336,4129172,1.000,50489.70
4400,79,3315040,4185684,4181440,1.001,51393.98
4500,81,3397906,4290176,4285976,1.001,53093.93
4600,83,3480768,4394588,4390512,1.001,54539.34
4700,85,3563608,4498808,4495048,1.001,55762.77
4800,87,3646085,4601452,4599584,1.000,57002.16
4900,89,3718888,4705880,4704120,1.000,58101.25
5000,90,3770853,4761104,4756388,1.001,58835.35
5100,92,3853719,4865628,4860924,1.001,60010.62
5200,94,3936575,4969952,4965460,1.001,61159.52
5300,96,4019360,5073848,5069996,1.001,62342.40
5400,98,4100588,5176816,5174532,1.000,63576.65
5500,99,4143800,5232152,5226800,1.001,64215.76
5600,101,4226666,5336616,5331336,1.001,65503.20
5700,103,4309528,5441008,5435872,1.001,66758.04
5800,105,4392368,5545216,5540408,1.001,68009.96
5900,107,4474845,5647880,5644944,1.001,69331.40
6000,109,4547648,5752332,5749480,1.000,70608.76
6100,110,4599613,5807560,5801748,1.001,71563.42
6200,112,4682479,5912068,5906284,1.001,73390.44
6300,114,4765335,6016364,6010820,1.001,75160.30
6400,116,4848120,6120252,6115356,1.001,76978.68
6500,118,4929348,6223228,6219892,1.001,78530.55
