n_tenants,quiet_total_requests,quiet_throughput_rps,quiet_p50_ms,quiet_p99_ms,noisy_total_requests
2,2876,719.00,1.3667,1.9553,985
5,3138,784.50,1.2365,1.9425,1930
10,3183,795.75,1.2338,1.8158,3234
25,3144,786.00,1.2210,1.9382,8384
55,2776,694.00,1.3900,2.1605,18744
